sample_id;Давление в E-301;Масса КГД из куба колонны;Вывод балансового избытка;520-540;K-301 Темп-ра в гор. зоне;Метан+этан из жидкости в Е-301;60-70;50-60;н-пентан;40-50
ПРОБА 124;2400.0;0.0;9.0;0.0599838330012333;163.0;0.0327950509149222;3.5;0.128034046501748;0.0;0.348863075347693
ПРОБА 125;2400.0;0.0;10.0;0.0599838330012333;163.0;0.0327950509149222;3.5;0.1360960947705516;0.0;0.348863075347693
ПРОБА 126;2400.0;34.274789299923995;11.0;0.2819486527748025;163.0;0.191716991710876;3.8303452953452366;0.8894714605387302;6.71;0.6723916560870131
ПРОБА 127;2400.0;0.0;12.0;0.1196680686100167;163.0;0.191716991710876;3.635322548118856;0.5708096057878376;4.164453731197095;1.212423078401231
ПРОБА 128;2400.0;0.0;13.0;0.0599838330012333;163.0;0.0327950509149222;3.5;1.09626849765446;0.0;0.348863075347693
ПРОБА 129;2400.0;33.61463431921056;14.0;0.2925190921221798;163.0;0.191716991710876;3.8316917742465537;0.128034046501748;6.71;0.6980033066910156
ПРОБА 130;2400.0;0.0;15.0;0.0599838330012333;163.0;0.0327950509149222;3.5;0.128034046501748;0.0;0.578317278386782
ПРОБА 131;2400.0;0.0;16.0;0.1442728262170103;163.0;0.191716991710876;3.691477275777301;0.128034046501748;3.694684847952229;0.3567932276731903
ПРОБА 132;2400.0;0.0;17.0;0.0599838330012333;163.0;0.0327950509149222;3.5;0.3974902709156131;0.3632454406669278;0.348863075347693
ПРОБА 133;2400.0;0.0;18.0;0.1795580871339541;163.0;0.191716991710876;3.6964020994661055;0.5328209148055245;5.096906298445962;0.348863075347693
ПРОБА 134;2400.0;0.0;3.0;0.0599838330012333;166.0;0.0327950509149222;3.5;0.128034046501748;0.3647401827789617;0.4948753894913614
ПРОБА 135;2400.0;0.0;4.0;0.0677655978439543;166.0;0.1299080974602717;3.585072794931889;0.128034046501748;2.855221802853805;0.348863075347693
ПРОБА 136;2400.0;0.7339592073956062;5.0;0.177459670139514;166.0;0.191716991710876;3.674901453978432;0.6950914603108842;5.179158618632618;0.348863075347693
ПРОБА 137;2400.0;0.0;6.0;0.1835434450866083;166.0;0.191716991710876;3.732921161464413;0.128034046501748;5.616412171244501;0.524258454399164
ПРОБА 138;2400.0;-4.491828789979556;7.0;0.0599838330012333;166.0;0.0327950509149222;3.5;0.6490430674539514;0.0;0.348863075347693
ПРОБА 139;2400.0;6.882304037423212;8.0;0.1822442711846873;166.0;0.191716991710876;3.716112341477805;1.917696642797422;4.174810733847594;0.348863075347693
ПРОБА 140;2400.0;-0.0004151950036636;9.0;0.1846171670039967;166.0;0.191716991710876;3.6622884950812034;0.4574920796087149;4.895795940467306;0.7213886024946349
ПРОБА 141;2400.0;8.39877761702244;10.0;0.0599838330012333;166.0;0.0327950509149222;3.5;0.1635604470205021;0.0;0.348863075347693
ПРОБА 142;2400.0;-2.268464683855601;11.0;0.0599838330012333;166.0;0.0327950509149222;3.5;0.128034046501748;0.0;0.348863075347693
ПРОБА 143;2400.0;-2.9367826134959343e-30;12.0;0.0599838330012333;166.0;0.0327950509149222;3.51976673130974;0.128034046501748;1.0674253433668632;0.348863075347693
ПРОБА 144;2400.0;-2.9367826134959343e-30;13.0;0.0599838330012333;166.0;0.0327950509149222;3.5;0.128034046501748;1.4552360939181916;0.348863075347693
ПРОБА 145;2400.0;0.0076368081835894;14.0;0.0599838330012333;166.0;0.0327950509149222;3.5;0.128034046501748;0.0;0.8737912686688617
ПРОБА 146;2400.0;33.525978370457345;15.0;0.3157182458795237;166.0;0.191716991710876;3.833556076276479;0.128034046501748;6.71;1.0759444402501446
ПРОБА 147;2400.0;0.0;16.0;0.2530140143249096;166.0;0.191716991710876;3.77595896617914;1.3186285097518642;6.094387699164768;0.5759636699927515
ПРОБА 148;2400.0;0.0744161363842692;17.0;0.0599838330012333;166.0;0.0327950509149222;3.5;0.128034046501748;0.0;0.348863075347693
ПРОБА 149;2400.0;34.120961170571704;18.0;0.2689335623219891;166.0;0.191716991710876;3.823404780492434;0.5636483199762917;6.71;0.348863075347693
ПРОБА 150;2400.0;-1.727022779458696e-12;3.0;0.0599838330012333;169.0;0.0327950509149222;3.5;0.128034046501748;0.0;0.348863075347693
ПРОБА 151;2400.0;35.05732778237449;4.0;0.2563657761450689;169.0;0.191716991710876;3.808377756451144;0.2165797301651942;6.632981686020874;0.5543369352600036
ПРОБА 152;2400.0;37.57375986835212;5.0;0.1738707039255989;169.0;0.191716991710876;3.723670878531218;0.8127413449114508;4.499700561150056;0.4324504843104555
ПРОБА 153;2400.0;11.114058432636227;6.0;0.0599838330012333;169.0;0.0327950509149222;3.5;0.128034046501748;0.0;0.348863075347693
ПРОБА 154;2400.0;0.0;7.0;0.0599838330012333;169.0;0.0327950509149222;3.5;0.311922254620031;0.3763859151396723;0.348863075347693
ПРОБА 155;2400.0;0.0;8.0;0.0665894940472436;169.0;0.191716991710876;3.561854628209016;0.128034046501748;2.7783097890930546;0.348863075347693
ПРОБА 156;2400.0;1.1642223690113862;9.0;0.0599838330012333;169.0;0.0327950509149222;3.5;0.128034046501748;0.0;0.348863075347693
ПРОБА 157;2400.0;0.2852243208378863;10.0;0.4183870681214663;169.0;0.191716991710876;3.942732069779505;0.128034046501748;6.71;1.092897360197993
ПРОБА 158;2400.0;7.805048828669186e-07;11.0;0.0599838330012333;169.0;0.0327950509149222;3.5;0.128034046501748;0.2035561698794797;0.348863075347693
ПРОБА 159;2400.0;-1.7242870157978078e-19;12.0;0.0599838330012333;169.0;0.0327950509149222;3.5;0.128034046501748;0.9251655647459014;0.348863075347693
ПРОБА 160;2400.0;-1.7242870157978078e-19;13.0;0.0599838330012333;169.0;0.0327950509149222;3.519423453346947;0.128034046501748;1.555397728289985;0.348863075347693
ПРОБА 161;2400.0;-0.0014657024812155;14.0;0.1284031338597566;169.0;0.191716991710876;3.7017539877892793;0.128034046501748;3.887669628167453;0.4643329778963311
ПРОБА 162;2400.0;0.0;15.0;0.1038909287625855;169.0;0.191716991710876;3.6004155950493377;0.1553351282612728;3.4431328082759314;0.348863075347693
ПРОБА 163;2400.0;2.6660036622412884;16.0;0.9023683293766134;169.0;0.191716991710876;4.395790744159865;0.995763240652837;6.71;1.8109677601135676
ПРОБА 164;2400.0;0.0380655782395121;17.0;0.0599838330012333;169.0;0.0327950509149222;3.5;0.128034046501748;0.0;0.348863075347693
ПРОБА 165;2400.0;34.79528108167861;18.0;0.0599838330012333;169.0;0.0327950509149222;3.5;0.128034046501748;0.0;0.348863075347693
ПРОБА 166;2400.0;0.0;3.0;0.0599838330012333;172.0;0.0327950509149222;3.5;0.2242415311240617;0.0;0.4918200196905427
